group_id_anonymised	unique_members_count
10	406
74	356
235	4
89	18
155	316
219	34
234	14
232	10
101	523
48	64
17	518
136	77
200	107
45	990
65	271
192	291
139	4
158	287
68	332
226	165
29	214
9	340
23	169
149	73
52	51
210	134
193	121
132	80
240	46
227	158
37	323
54	15
6	187
16	273
57	69
13	167
204	112
47	86
141	452
72	6
134	130
90	313
222	288
187	96
12	145
173	210
175	27
163	478
150	99
41	34
81	76
42	26
33	15
144	386
169	124
93	374
86	379
119	138
105	33
225	274
64	296
161	83
83	373
121	285
126	46
117	374
53	199
21	19
231	375
179	14
58	95
183	65
59	66
184	102
166	84
97	405
181	377
206	132
230	101
201	363
217	193
143	70
191	282
180	354
212	98
194	108
32	11
46	27
26	46
224	370
171	348
154	183
238	141
14	216
177	314
28	92
213	159
157	30
124	138
156	57
190	6
137	495
215	26
40	9
1	229
120	304
115	74
94	274
55	192
147	36
92	416
229	270
35	68
239	82
205	185
196	163
138	269
27	119
133	107
30	7
82	157
8	91
84	644
153	207
61	47
203	226
11	289
178	307
195	403
209	72
122	404
98	566
44	40
142	130
160	252
127	36
70	55
151	332
135	5
20	17
18	230
131	102
69	57
214	34
113	297
220	26
185	44
125	363
66	93
38	101
63	279
211	91
189	187
109	126
50	169
19	40
103	351
62	71
60	57
216	9
221	44
208	75
91	181
162	314
188	211
34	7
130	57
110	47
112	44
111	19
167	30
85	25
207	36